name,ra,dec,V,CaHK_0,CaHKerr,FeH_pris,FeH_FERRE,FeH_FERRE_err,temp_FERRE,temp_FERRE_err,logg_FERRE,logg_FERRE_err,C_Fe_FERRE,C_Fe_FERRE_err,q_flag,c_flag,prev_obs
P009.8287+32.0667,9.82866287,32.06670380,15.385,15.696,0.020,-2.86,-2.44,0.26,6269,103,4.8,0.5,0.13,1.39,X,-1,nan
P009.9338+34.6733,9.93381214,34.67329788,15.933,16.270,0.020,-2.92,-2.77,0.20,5851,103,5.0,0.5,0.76,0.41,X,-1,nan
P010.1927+30.4962,10.19266224,30.49618912,15.662,15.961,0.020,-3.06,-2.32,0.20,6184,106,4.4,0.5,0.90,0.50,X,-1,nan
P010.5133+34.5949,10.51331234,34.59487534,15.779,16.107,0.020,-2.82,-2.09,0.21,5864,111,4.4,0.5,0.11,0.41,X,-1,nan
P010.5944+30.7536,10.59438324,30.75359154,16.128,16.999,0.020,-3.31,-2.73,0.21,5282,107,2.1,0.6,0.55,0.43,X,1,nan
P010.6713+28.7850,10.67125416,28.78501129,15.994,16.630,0.020,-3.29,-2.84,0.20,5456,108,3.5,0.5,0.56,0.41,X,-1,nan
P011.1002+26.2685,11.10022545,26.26845741,15.035,15.320,0.020,-2.83,-2.64,0.27,6450,102,5.0,0.5,0.06,1.36,X,-1,LAMOST
P011.1646+30.1038,11.16462517,30.10384941,16.081,16.405,0.020,-2.96,-2.17,0.21,6074,115,4.6,0.5,0.22,0.52,X,-1,nan
P011.3787+30.9393,11.37867928,30.93927765,16.110,16.439,0.020,-3.09,-2.19,0.20,6283,111,4.4,0.5,-0.21,0.63,X,-1,nan
P011.6382+34.7652,11.63816643,34.76520157,14.861,15.415,0.020,-3.88,-1.23,0.20,5965,102,3.8,0.5,-0.82,0.40,X,-1,LAMOST
P011.9862+33.3574,11.98624992,33.35736847,16.254,16.830,0.021,-2.94,-2.67,0.21,5246,105,1.4,0.6,0.96,0.43,X,1,nan
P012.4948+34.7147,12.49481678,34.71471024,16.095,16.260,0.020,-3.08,-3.05,0.22,6347,114,4.9,0.5,0.02,0.75,X,-1,nan
P013.6821+33.4826,13.68207073,33.48257446,15.092,16.284,0.020,-2.82,-2.56,0.20,5056,105,1.1,0.5,-0.03,0.51,X,-1,nan
P014.5528+27.0859,14.55279160,27.08589363,15.785,16.129,0.020,-3.10,-2.71,0.20,6156,105,4.8,0.5,0.25,0.58,X,-1,nan
P014.5975+29.6557,14.59752464,29.65572739,15.207,15.514,0.020,-2.87,-2.20,0.21,6213,112,4.8,0.5,-0.53,0.47,X,-1,LAMOST
P015.4454+28.2953,15.44542885,28.29526138,14.978,15.216,0.020,-2.78,-2.75,0.30,6528,102,5.0,0.5,-0.61,0.70,X,-1,nan
P016.2907+28.3957,16.29069519,28.39568901,14.934,15.488,0.020,-3.06,-3.27,0.20,5378,102,1.1,0.5,2.42,0.40,X,1,nan
P016.6214+27.8630,16.62138748,27.86296463,15.815,16.095,0.020,-2.94,-2.92,0.21,6235,105,5.0,0.5,0.10,0.71,X,-1,nan
P016.6814+27.6972,16.68142128,27.69720268,15.391,15.672,0.020,-2.87,-2.18,0.20,6401,102,5.0,0.5,0.94,0.50,X,-1,nan
