LAMOST,Sname,RAdeg,DEdeg,Teff_li,e_Teff_li,logg_li,e_logg_li,FeH_li,e_FeH_li,sng,rv,rv_err
J002448.81+012559.0,"spec-56978-EG001639N015102M01_sp06-195  ",6.203379,1.43306,6012.2,212.3,3.71,0.49,-2.05,0.12,42.3,-161.04,5.43
J002450.05+372358.7,"spec-56232-M31007N36B1_sp03-207         ",6.208549,37.39964,6500.0,150.0,3.84,0.49,-2.97,0.27,29.9,-118.82,6.08
J002507.41+243510.5,"spec-56256-VB006N25V2_sp03-011          ",6.280861,24.58624,6162.1,209.0,3.12,0.71,-2.06,0.12,22.5,-112.25,4.61
J002507.41+243510.4,"spec-56576-EG002045N263049V01_sp07-242  ",6.280884,24.586227,6183.4,203.7,3.29,0.62,-2.06,0.12,65.5,-115.56,4.14
J002520.66+312650.3,"spec-57015-M31007N33B1_sp01-244         ",6.336075,31.447294,6250.0,150.0,3.53,0.5,-2.03,0.14,22.5,-79.17,12.82
J002534.30+283339.5,"spec-56576-EG002045N263049B01_sp12-242  ",6.392922,28.560965,6237.8,212.3,2.89,0.64,-2.08,0.12,16.1,-146.72,11.55
J002543.77+230536.8,"spec-56256-VB006N25V1_sp01-067          ",6.432368,23.093561,6327.4,170.3,3.01,0.56,-3.25,0.21,24.6,-225.58,3.66
J002544.31+020105.3,"spec-56621-EG002616N034932B01_sp01-156  ",6.434616,2.018143,6000.0,150.0,3.23,0.62,-2.8,0.26,45.5,-101.82,5.09
J002632.87+055536.7,"spec-56621-EG002616N034932B01_sp11-193  ",6.636963,5.92685,6024.1,202.1,3.27,0.55,-2.18,0.12,20.1,-127.8,9.43
J002713.78+415201.2,"spec-56266-M31007N41B1_sp03-129         ",6.807427,41.867004,5017.2,224.6,0.97,0.5,-2.61,0.19,17.1,-278.53,7.93
J002744.49+042612.2,"spec-56621-EG002616N034932B01_sp09-173  ",6.935365,4.436709,5975.9,202.1,3.24,0.6,-2.04,0.17,17.2,-268.29,5.41
J002819.73+405842.7,"spec-56266-M31007N41B2_sp03-008         ",7.082211,40.978523,5438.4,218.5,2.83,0.59,-2.15,0.22,17.7,-359.79,9.5
J002823.11+033055.7,"spec-56621-EG002616N034932B01_sp04-114  ",7.09628,3.515478,6000.0,203.1,3.24,0.6,-2.02,0.14,19.2,-29.71,13.29
J002826.30+043957.0,"spec-56621-EG002616N034932B01_sp09-169  ",7.109583,4.665835,6132.3,215.5,3.24,0.67,-2.26,0.17,45.3,22.17,2.22
J002830.36+394518.1,"spec-56641-HD002951N381926V01_sp15-213  ",7.12652,39.755028,4559.3,292.2,4.0,0.39,-2.43,0.29,75.0,-36.06,2.38
J002856.66+330631.6,"spec-56255-VB007N33V1_sp05-124          ",7.236093,33.108772,6132.3,215.5,3.24,0.67,-2.09,0.17,42.8,-115.88,3.87
J002908.00+452528.8,"spec-57012-M31004N46B1_sp06-194         ",7.283331,45.424667,6059.5,251.7,3.5,0.6,-2.15,0.12,32.7,-172.01,6.07
J002922.08+350516.6,"spec-56952-M31005N35M1_sp06-076         ",7.342019,35.08795,5987.8,212.3,3.06,0.65,-2.1,0.14,27.3,-236.11,5.82
J002922.19+370640.9,"spec-56232-M31007N36B1_sp04-061         ",7.342442,37.11137,5301.9,182.2,1.7,0.64,-2.46,0.17,18.9,-312.96,6.22
J002931.69+255931.7,"spec-56576-EG002045N263049B01_sp06-195  ",7.382037,25.992126,5637.1,275.3,4.01,0.37,-2.05,0.17,35.2,-279.86,7.29
J002951.64+402853.4,"spec-56266-M31007N41B1_sp05-044         ",7.46516,40.481503,6026.0,189.6,2.9,0.69,-2.1,0.17,29.9,-47.28,5.36
J003059.06+360205.5,"spec-57015-M31007N33B1_sp11-031         ",7.746083,36.03485,6436.1,186.2,3.51,0.55,-2.78,0.26,60.5,-109.31,3.48
